GROUP,CONAME,DIST,DISTNAME,PP3VV,STPCT01VV,LTPCT01VV,FDPCT01VV,TUPCT01VV,FBPCT01VV,OTPCT01VV,STRAT01VV,SSRAT01VV,SARAT01VV,PCTSEVV,CO,OTHER01
G. K-12 / 3501 +,MORRIS,4560,ROXBURY TWP,17193,0.232,0.705,0.024,0.039,0,0,13,84.8,188.9,0.130,27,85619
D. K-8 / 751 +,MORRIS,5520,WASHINGTON TWP,16296,0.237,0.743,0.02,0,0,0,13.5,68.3,221.3,0.148,27,-3.72529E-9
H. 7-12 / 9-12,MORRIS,5660,WEST MORRIS REGIONAL,18141,0.14,0.84,0.019,0.001,0,0,13.5,88.4,171.3,0.147,27,521623
D. K-8 / 751 +,MORRIS,5770,WHARTON BORO,14858,0.325,0.595,0.056,0.024,0,0,11.4,117,167.8,0.157,27,-9.31323E-10
K. CHARTER,MORRIS,8050,UNITY CS,13105,0.181,0.808,0.012,0,0,0,10.6,99.3,149,0.101,80,0
F. K-12 / 1801 - 3500,OCEAN,185,BARNEGAT TWP,16483,0.467,0.51,0.023,0,0,0,12.4,77.4,191.2,0.145,29,0
B. K-8 / 0 - 400,OCEAN,210,BAY HEAD BORO,20507,0.065,0.865,0.008,0.063,0,0,10.4,292.5,73.1,0.085,29,11569
A. K-6,OCEAN,230,BEACH HAVEN BORO,20947,0.067,0.923,0.01,0,0,0,7.9,93.8,75,0.040,29,0
A. K-6,OCEAN,320,BERKELEY TWP,16548,0.116,0.84,0.036,0.008,0,0,12.2,72,224.1,0.147,29,9.313226E-10
G. K-12 / 3501 +,OCEAN,530,BRICK TWP,14733,0.288,0.666,0.045,0,0,0.001,13.5,80.4,231.8,0.186,29,7.4505806E-9
H. 7-12 / 9-12,OCEAN,770,CENTRAL REGIONAL,18271,0.143,0.815,0.035,0.007,0,0,12.6,77,148,0.185,29,0
A. K-6,OCEAN,1150,EAGLESWOOD TWP,19650,0.338,0.609,0.041,0,0.011,0.001,10.1,61.8,68,0.140,29,0
A. K-6,OCEAN,2350,ISLAND HEIGHTS BORO,17300,0.118,0.84,0.02,0.022,0,0,9.8,111.8,102.5,0.130,29,-5.82077E-11
G. K-12 / 3501 +,OCEAN,2360,JACKSON TWP,14686,0.412,0.556,0.032,0,0,0,14,90.4,256.6,0.150,29,-7.450581E-9
G. K-12 / 3501 +,OCEAN,2480,LACEY TWP,15179,0.353,0.575,0.041,0.001,0,0.03,13,106.4,198.3,0.166,29,3.7252903E-9
C. K-8 / 401 - 750,OCEAN,2500,LAKEHURST BORO,14747,0.736,0.135,0.128,0,0,0.001,13,74.6,169.2,0.186,29,-9.31323E-10
G. K-12 / 3501 +,OCEAN,2520,LAKEWOOD TWP,23362,0.324,0.522,0.135,0,0.018,0.001,12.1,74.3,219.7,0.149,29,0
B. K-8 / 0 - 400,OCEAN,2550,LAVALLETTE BORO,18490,0.081,0.86,0.019,0.04,0,0,9.9,76.4,88.4,0.071,29,-1.74623E-10
A. K-6,OCEAN,2690,LITTLE EGG HARBOR TWP,15633,0.554,0.408,0.036,0.002,0,0,12.2,87.3,166.7,0.123,29,1.8626451E-9
A. K-6,OCEAN,2760,LONG BEACH ISLAND,25376,0.101,0.87,0.021,0.007,0,0.001,8.8,45.4,84.3,0.165,29,4.656613E-10
F. K-12 / 1801 - 3500,OCEAN,2940,MANCHESTER TWP,16615,0.162,0.76,0.034,0.041,0,0.003,11.5,57.4,176,0.153,29,-1.862645E-9
J. VOC,OCEAN,3790,OCEAN COUNTY VOCATIONAL,15428,0.243,0.653,0.034,0.07,0,0,14,113.5,154.7,0.205,29,-9.31323E-10
A. K-6,OCEAN,3800,OCEAN GATE BORO,17947,0.415,0.545,0.039,0,0,0.001,8.7,52,78,0.128,29,0
A. K-6,OCEAN,3820,OCEAN TWP,18051,0.426,0.548,0.026,0,0,0,10.5,63.5,154.3,0.150,29,31985
H. 7-12 / 9-12,OCEAN,4105,PINELANDS REGIONAL,19364,0.43,0.537,0.033,0,0,0,9.9,68.5,110.9,0.193,29,0
E. K-12 / 0 - 1800,OCEAN,4190,PLUMSTED TWP,15849,0.408,0.337,0.05,0.005,0,0.2,12.2,64.9,157.5,0.152,29,0
F. K-12 / 1801 - 3500,OCEAN,4210,POINT PLEASANT BORO,13191,0.206,0.761,0.03,0.003,0,0,13.4,103.3,187.2,0.132,29,0
E. K-12 / 0 - 1800,OCEAN,4220,POINT PLEASANT BEACH BORO,16908,0.102,0.748,0.022,0.128,0,0,12,72.2,125.3,0.117,29,9.313226E-10
A. K-6,OCEAN,4710,SEASIDE HEIGHTS BORO,18882,0.255,0.625,0.11,0.01,0,0,10.8,73.1,212,0.132,29,0
H. 7-12 / 9-12,OCEAN,4950,SOUTHERN REGIONAL,18715,0.07,0.666,0.015,0.116,0.133,0,13.4,96.7,166.6,0.174,29,3.7252903E-9
A. K-6,OCEAN,5020,STAFFORD TWP,16141,0.295,0.666,0.036,0.004,0,0,13.4,95.1,197.3,0.163,29,1.8626451E-9
G. K-12 / 3501 +,OCEAN,5190,TOMS RIVER REGIONAL,13426,0.351,0.607,0.038,0.004,0,0,14.3,121.5,229.5,0.131,29,-1.490116E-8
A. K-6,OCEAN,5220,TUCKERTON BORO,13843,0.36,0.562,0.04,0.01,0,0.028,11.1,73.6,162,0.179,29,27665
C. K-8 / 401 - 750,PASSAIC,420,BLOOMINGDALE BORO,17951,0.144,0.825,0.018,0.012,0,0.001,12.2,73.1,124.2,0.130,31,0
G. K-12 / 3501 +,PASSAIC,900,CLIFTON CITY,14193,0.2,0.742,0.057,0,0,0.001,14.2,106.1,233.7,0.115,31,-7.450581E-9
D. K-8 / 751 +,PASSAIC,1920,HALEDON BORO,14801,0.527,0.387,0.085,0,0,0.001,12.6,86.9,341.7,0.114,31,9.313226E-10
F. K-12 / 1801 - 3500,PASSAIC,2100,HAWTHORNE BORO,15334,0.116,0.852,0.032,0,0,0,13.1,74.8,192.2,0.192,31,3.7252903E-9
H. 7-12 / 9-12,PASSAIC,2510,LAKELAND REGIONAL,19107,0.246,0.711,0.017,0.026,0,0,13.7,87,139.2,0.117,31,-9.31323E-10
D. K-8 / 751 +,PASSAIC,2700,LITTLE FALLS TWP,14868,0.094,0.854,0.027,0.018,0,0.007,13.1,63.1,185.6,0.129,31,640
C. K-8 / 401 - 750,PASSAIC,3640,NORTH HALEDON BORO,15845,0.115,0.864,0.022,0,0,0,13.6,74,165.1,0.092,31,16019
G. K-12 / 3501 +,PASSAIC,3970,PASSAIC CITY,18588,0.848,0.069,0.079,0.001,0,0.003,13,105.3,232.8,0.124,31,99673104
H. 7-12 / 9-12,PASSAIC,3980,PASSAIC CO MANCHESTER REG,21108,0.349,0.587,0.047,0,0.017,0,12.9,123.8,139.3,0.115,31,-9.31323E-10
H. 7-12 / 9-12,PASSAIC,3990,PASSAIC VALLEY REGIONAL,18434,0.078,0.89,0.023,0.008,0,0.001,12.3,115.7,117.9,0.126,31,5712
J. VOC,PASSAIC,3995,PASSAIC COUNTY VOCATIONAL,23256,0.293,0.154,0.061,0.492,0,0,11.7,71,130.6,0.144,31,0
G. K-12 / 3501 +,PASSAIC,4010,PATERSON CITY,19042,0.841,0.08,0.079,0,0,0,11.9,88.2,143.4,0.134,31,3944501
E. K-12 / 0 - 1800,PASSAIC,4230,POMPTON LAKES BORO,18566,0.183,0.733,0.028,0.055,0,0.001,12.4,64.5,117.4,0.132,31,0
D. K-8 / 751 +,PASSAIC,4270,PROSPECT PARK BORO,13512,0.692,0.224,0.085,0,0,0,13.3,85.9,214.8,0.126,31,0
D. K-8 / 751 +,PASSAIC,4400,RINGWOOD BORO,17087,0.192,0.729,0.03,0.045,0.002,0.002,13.3,73.8,183.4,0.171,31,4720
D. K-8 / 751 +,PASSAIC,5200,TOTOWA BORO,14698,0.092,0.876,0.022,0.011,0,0,12.9,73.4,140.6,0.096,31,-9.31323E-10
D. K-8 / 751 +,PASSAIC,5440,WANAQUE BORO,17816,0.221,0.741,0.026,0.012,0,0,11.9,98.7,312.7,0.152,31,20342
G. K-12 / 3501 +,PASSAIC,5570,WAYNE TWP,16789,0.09,0.884,0.025,0.002,0,0,12.8,74.8,197.1,0.112,31,7.4505806E-9
G. K-12 / 3501 +,PASSAIC,5650,WEST MILFORD TWP,17804,0.255,0.708,0.034,0.004,0,0,14.1,71.9,165.8,0.169,31,-7.450581E-9
D. K-8 / 751 +,PASSAIC,5690,WOODLAND PARK,13091,0.1,0.861,0.033,0.006,0,0,12.8,123.4,158.7,0.119,31,0
K. CHARTER,PASSAIC,6021,COMMUNITY CHARTER SCHOOL OF PATERSON,14430,0.071,0.826,0.103,0,0,0,14.5,160,165.5,0.084,80,0
K. CHARTER,PASSAIC,6230,CLASSICAL ACADEMY CS OF CLIFTON,7799,0.077,0.896,0.026,0,0,0.001,13.9,0,67.6,0.000,80,0
K. CHARTER,PASSAIC,7503,PATERSON CS FOR SCI/TECH,15507,0.827,0.098,0.075,0,0,0,12.7,92.4,295.6,0.069,80,0
C. K-8 / 401 - 750,SALEM,60,ALLOWAY TWP,12982,0.504,0.456,0.036,0.004,0,0,12.7,78.7,206.2,0.083,33,0
B. K-8 / 0 - 400,SALEM,1350,ELSINBORO TWP,16775,0.292,0.646,0.046,0.016,0,0,8.8,93,93,0.086,33,0
B. K-8 / 0 - 400,SALEM,2800,LOWER ALLOWAYS CREEK,19350,0.245,0.725,0.027,0.003,0,0,9.1,96.2,134.7,0.064,33,-4.65661E-10
B. K-8 / 0 - 400,SALEM,2950,MANNINGTON TWP,16826,0.238,0.71,0.038,0.014,0,0,11.4,262.9,167.3,0.071,33,0
B. K-8 / 0 - 400,SALEM,3860,OLDMANS TWP,17659,0.391,0.563,0.028,0.018,0,0,12.1,113.5,137.9,0.073,33,420
F. K-12 / 1801 - 3500,SALEM,4070,PENNS GRV-CARNEY'S PT REG,16321,0.623,0.264,0.068,0.045,0,0,11.3,90,156,0.175,33,-3.72529E-9
F. K-12 / 1801 - 3500,SALEM,4075,PENNSVILLE,15758,0.337,0.623,0.035,0.004,0,0.001,11.5,78.5,126.4,0.175,33,0
E. K-12 / 0 - 1800,SALEM,4150,PITTSGROVE TWP,14872,0.518,0.346,0.033,0.103,0,0,14.3,92.7,114.7,0.115,33,0
B. K-8 / 0 - 400,SALEM,4280,QUINTON TWP,14308,0.562,0.37,0.037,0.031,0,0,13.1,78.6,119.3,0.064,33,-4.65661E-10
E. K-12 / 0 - 1800,SALEM,4630,SALEM CITY,21630,0.737,0.098,0.08,0.085,0,0,8.9,55.3,69.2,0.169,33,77040
I. CSSD,SALEM,4635,SALEM CO SPECIAL SERVICE,33942,0.246,0.041,0.003,0.71,0,0,5.3,6.2,34.1,0.863,33,0
J. VOC,SALEM,4640,SALEM COUNTY VOCATIONAL,14017,0.616,0.23,0.106,0.049,0,0,16.4,144.2,84.8,0.154,33,122003
B. K-8 / 0 - 400,SALEM,5320,UPPER PITTSGROVE TWP,13989,0.452,0.511,0.031,0.005,0,0.001,11.8,128.3,256.7,0.169,33,4.656613E-10
E. K-12 / 0 - 1800,SALEM,5910,WOODSTOWN-PILESGROVE REG,12868,0.362,0.433,0.026,0.179,0,0,12.3,123.7,134,0.124,33,-1.862645E-9
C. K-8 / 401 - 750,SOMERSET,240,BEDMINSTER TWP,20186,0.067,0.921,0.011,0,0,0.001,10.1,54.2,118.2,0.134,35,0
G. K-12 / 3501 +,SOMERSET,350,BERNARDS TWP,15671,0.095,0.881,0.012,0.011,0,0.001,12.7,76.4,194.4,0.117,35,0
E. K-12 / 0 - 1800,SOMERSET,490,BOUND BROOK BORO,15394,0.349,0.529,0.072,0.05,0,0,14.2,90.1,191.5,0.125,35,22047
D. K-8 / 751 +,SOMERSET,510,BRANCHBURG TWP,16876,0.083,0.883,0.018,0.003,0,0.013,12,66.9,229.9,0.153,35,-2.793968E-9
G. K-12 / 3501 +,SOMERSET,555,BRIDGEWATER-RARITAN REG,16254,0.113,0.861,0.02,0,0,0.006,11.8,78.1,228,0.140,35,1.1175871E-8
G. K-12 / 3501 +,SOMERSET,1610,FRANKLIN TWP,18288,0.144,0.817,0.038,0.001,0,0,12.6,102,182.6,0.120,35,-7.450581E-9
D. K-8 / 751 +,SOMERSET,1810,GREEN BROOK TWP,17111,0.078,0.906,0.013,0.002,0,0.001,12.4,92.1,246.5,0.116,35,9.313226E-10
G. K-12 / 3501 +,SOMERSET,2170,HILLSBOROUGH TWP,15440,0.266,0.712,0.021,0.001,0,0,12.4,76.7,243.1,0.135,35,0
E. K-12 / 0 - 1800,SOMERSET,3000,MANVILLE BORO,15339,0.291,0.664,0.044,0,0,0.001,12.6,63.7,162.3,0.198,35,170
G. K-12 / 3501 +,SOMERSET,3320,MONTGOMERY TWP,15858,0.101,0.872,0.024,0.001,0,0.002,13.4,102.2,213.9,0.095,35,-5.587935E-9
F. K-12 / 1801 - 3500,SOMERSET,3670,NORTH PLAINFIELD BORO,17028,0.471,0.491,0.037,0,0,0.001,11.5,76.8,169.8,0.125,35,0
J. VOC,SOMERSET,4810,SOMERSET CO VOCATIONAL,30204,0.164,0.756,0.034,0.046,0,0,10.7,54.4,61.8,0.173,35,9.313226E-10
F. K-12 / 1801 - 3500,SOMERSET,4815,SOMERSET HILLS REGIONAL,19278,0.096,0.775,0.021,0.104,0,0.004,13.2,79.2,156.7,0.110,35,11012
F. K-12 / 1801 - 3500,SOMERSET,4820,SOMERVILLE BORO,17177,0.199,0.509,0.034,0.252,0,0.006,13.3,90.5,171.9,0.111,35,29321
C. K-8 / 401 - 750,SOMERSET,4850,SOUTH BOUND BROOK,15341,0.38,0.588,0.031,0,0,0.001,13.6,71.7,150.7,0.126,35,0
D. K-8 / 751 +,SOMERSET,5470,WARREN TWP,17997,0.09,0.895,0.013,0.002,0,0,10.1,60.3,199,0.143,35,372296
C. K-8 / 401 - 750,SOMERSET,5540,WATCHUNG BORO,17643,0.089,0.891,0.018,0.002,0,0,13.1,77.6,176.5,0.105,35,-2.32831E-10
H. 7-12 / 9-12,SOMERSET,5550,WATCHUNG HILLS REGIONAL,19061,0.077,0.738,0.012,0.173,0,0,12.8,83.2,137.6,0.154,35,3914
K. CHARTER,SOMERSET,6018,CENTRAL JERSEY COLLEGE PREP CS,14846,0.548,0.417,0.035,0,0,0,11,93.3,93.3,0.093,80,0
C. K-8 / 401 - 750,SUSSEX,90,ANDOVER REG,17344,0.207,0.765,0.028,0,0,0,11,102.7,129.4,0.170,37,47
D. K-8 / 751 +,SUSSEX,640,BYRAM TWP,14463,0.28,0.698,0.021,0.002,0,0,13.1,85.5,205.2,0.147,37,65
C. K-8 / 401 - 750,SUSSEX,1560,FRANKFORD TWP,18672,0.251,0.73,0.019,0.001,0,0,9.9,82.5,148.5,0.154,37,0
C. K-8 / 401 - 750,SUSSEX,1570,FRANKLIN BORO,16685,0.437,0.518,0.04,0.005,0,0,11.4,73.7,129,0.201,37,-9.31323E-10
A. K-6,SUSSEX,1630,FREDON TWP,16253,0.149,0.821,0.03,0,0,0,12,111.7,111.7,0.095,37,63714
C. K-8 / 401 - 750,SUSSEX,1800,GREEN TWP,16542,0.229,0.742,0.029,0,0,0,13.5,96.3,122.8,0.100,37,0
B. K-8 / 0 - 400,SUSSEX,1930,HAMBURG BORO,20116,0.339,0.639,0.023,0,0,0,10.9,43.8,140,0.209,37,2080
A. K-6,SUSSEX,1980,HAMPTON TWP,17130,0.253,0.716,0.031,0,0,0,10.8,108.1,129.7,0.095,37,0
D. K-8 / 751 +,SUSSEX,2030,HARDYSTON TWP,16599,0.229,0.745,0.026,0,0,0,12.8,73.4,181.8,0.144,37,-4.65661E-10
H. 7-12 / 9-12,SUSSEX,2165,HIGH POINT REGIONAL,21401,0.322,0.64,0.022,0.016,0,0,11.6,73.8,106.5,0.136,37,0
F. K-12 / 1801 - 3500,SUSSEX,2240,HOPATCONG,16937,0.37,0.599,0.031,0,0,0,13.9,64.1,140.9,0.204,37,0
H. 7-12 / 9-12,SUSSEX,2465,KITTATINNY REGIONAL,19158,0.34,0.628,0.031,0,0,0.001,11.3,81.3,129.3,0.127,37,-9.31323E-10
B. K-8 / 0 - 400,SUSSEX,2490,LAFAYETTE TWP,19131,0.181,0.787,0.023,0.009,0,0,10.4,56.1,86,0.124,37,0
H. 7-12 / 9-12,SUSSEX,2615,LENAPE VALLEY REGIONAL,16547,0.328,0.655,0.014,0.003,0,0,13,84.3,105.9,0.179,37,9.313226E-10
B. K-8 / 0 - 400,SUSSEX,3300,MONTAGUE TWP,18133,0.331,0.611,0.058,0,0,0,9.9,53.5,98,0.132,37,3.0000000005
E. K-12 / 0 - 1800,SUSSEX,3590,NEWTON TOWN,17145,0.283,0.464,0.031,0.222,0,0,12.2,75.6,168.1,0.115,37,-1.862645E-9
B. K-8 / 0 - 400,SUSSEX,3840,OGDENSBURG BORO,16313,0.492,0.481,0.026,0,0,0.001,11.3,63.6,79.4,0.179,37,0
A. K-6,SUSSEX,4650,SANDYSTON-WALPACK TWP,17207,0.234,0.629,0.137,0,0,0,9.1,131.7,158,0.184,37,0
G. K-12 / 3501 +,SUSSEX,4960,SPARTA TWP,15828,0.149,0.824,0.026,0,0,0.001,14.6,147.7,227.6,0.112,37,737549
B. K-8 / 0 - 400,SUSSEX,5030,STANHOPE BORO,14769,0.313,0.653,0.03,0.004,0,0,12.3,108.6,126.7,0.133,37,-4.65661E-10
A. K-6,SUSSEX,5040,STILLWATER TWP,16618,0.358,0.608,0.025,0.009,0,0,9.8,93.8,117.2,0.144,37,4.656613E-10
D. K-8 / 751 +,SUSSEX,5100,SUSSEX-WANTAGE REGIONAL,16164,0.362,0.602,0.03,0.005,0,0.001,12.6,61.2,183.6,0.199,37,0
J. VOC,SUSSEX,5110,SUSSEX COUNTY VOCATIONAL,23447,0.358,0.602,0.039,0.001,0,0,10.7,56,111.9,0.260,37,0
G. K-12 / 3501 +,SUSSEX,5360,VERNON TWP,18707,0.414,0.559,0.021,0.005,0,0.001,13.1,66,173.4,0.179,37,0
H. 7-12 / 9-12,SUSSEX,5435,WALLKILL VALLEY REGIONAL,19214,0.372,0.581,0.023,0,0,0.024,12.9,96.6,79.7,0.182,37,276926
K. CHARTER,SUSSEX,7850,SUSSEX COUNTY CS FOR TECHNOLOGY,15253,0.343,0.567,0.028,0,0,0.062,11.4,200,71.4,0.175,80,0
F. K-12 / 1801 - 3500,UNION,310,BERKELEY HEIGHTS TWP,16382,0.085,0.806,0.016,0.093,0,0,13,63.8,148.1,0.083,39,-3.72529E-9
F. K-12 / 1801 - 3500,UNION,850,CLARK TWP,15143,0.097,0.807,0.02,0.058,0,0.018,12.6,88.7,162,0.093,39,1.8626451E-9
G. K-12 / 3501 +,UNION,980,CRANFORD TWP,14232,0.096,0.82,0.025,0.058,0,0.001,12.1,83.8,188.7,0.145,39,83980
G. K-12 / 3501 +,UNION,1320,ELIZABETH CITY,19170,0.823,0.112,0.064,0.001,0,0,11.9,89.2,307.4,0.080,39,754035
C. K-8 / 401 - 750,UNION,1710,GARWOOD BORO,15840,0.096,0.87,0.026,0,0,0.008,13.6,103.7,164.2,0.147,39,-2.32831E-10
F. K-12 / 1801 - 3500,UNION,2190,HILLSIDE TWP,17345,0.449,0.494,0.045,0.003,0,0.009,12.2,98.1,124.8,0.106,39,206060
E. K-12 / 0 - 1800,UNION,2420,KENILWORTH BORO,16752,0.211,0.758,0.019,0.013,0,0,12.6,75.8,148.3,0.124,39,0
G. K-12 / 3501 +,UNION,2660,LINDEN CITY,17634,0.245,0.709,0.045,0,0,0.001,12.5,89,186.4,0.136,39,7.4505806E-9
D. K-8 / 751 +,UNION,3470,MOUNTAINSIDE BORO,14403,0.071,0.878,0.02,0.002,0.019,0.01,12.8,91.6,183.2,0.086,39,-2.32831E-10
F. K-12 / 1801 - 3500,UNION,3560,NEW PROVIDENCE BORO,16217,0.083,0.894,0.02,0.002,0,0.001,12.8,74.6,163.1,0.105,39,0
G. K-12 / 3501 +,UNION,4160,PLAINFIELD CITY,19117,0.78,0.149,0.066,0.003,0,0.002,12.8,76.4,178.2,0.114,39,582484
G. K-12 / 3501 +,UNION,4290,RAHWAY CITY,16328,0.357,0.601,0.043,0,0,0,12.9,91.5,192.1,0.140,39,1
F. K-12 / 1801 - 3500,UNION,4540,ROSELLE BORO,18621,0.478,0.441,0.081,0,0,0,11.8,81,164.4,0.148,39,0
F. K-12 / 1801 - 3500,UNION,4550,ROSELLE PARK BORO,16086,0.371,0.582,0.032,0.015,0,0,11.9,76,152,0.124,39,50000
G. K-12 / 3501 +,UNION,4670,SCOTCH PLAINS-FANWOOD REG,15056,0.084,0.878,0.025,0,0,0.013,13.7,109.9,223.4,0.119,39,550000
F. K-12 / 1801 - 3500,UNION,5000,SPRINGFIELD TWP,16612,0.071,0.907,0.022,0,0,0,13.4,85.9,148.9,0.124,39,3.259629E-9
G. K-12 / 3501 +,UNION,5090,SUMMIT CITY,17861,0.079,0.896,0.025,0,0,0,12.1,81.1,146.5,0.118,39,-4.656613E-9
J. VOC,UNION,5260,UNION COUNTY VOCATIONAL,15818,0.297,0.282,0.041,0.379,0,0.001,13.8,148.9,146.2,0.098,39,-1.862645E-9
G. K-12 / 3501 +,UNION,5290,UNION TWP,17777,0.3,0.653,0.04,0.002,0.005,0,12.4,85.2,193.4,0.122,39,0
G. K-12 / 3501 +,UNION,5730,WESTFIELD TOWN,14981,0.089,0.882,0.028,0.001,0,0,14,94.9,237.1,0.146,39,22600
B. K-8 / 0 - 400,UNION,5810,WINFIELD TWP,19746,0.532,0.444,0.021,0.004,0,0,8.6,68.1,71.5,0.119,39,0
K. CHARTER,UNION,6033,THE BARACK OBAMA GREEN CHARTER HIGH SCHO,14311,0.732,0.21,0.058,0,0,0,13.1,44.4,55.5,0.054,80,0
K. CHARTER,UNION,6217,CENTRAL JERSEY ARTS CS,0,0,0,0,0,0,0,0,0,0,0,80,0
K. CHARTER,UNION,7600,QUEEN CITY ACADEMY CS,13738,0.769,0.153,0.078,0,0,0,9.7,105.9,77.7,0.026,80,0
K. CHARTER,UNION,8010,UNION COUNTY TEAMS CS,14344,0.776,0.178,0.046,0,0,0,12.2,250,71.4,0.068,80,0
C. K-8 / 401 - 750,WARREN,30,ALLAMUCHY TWP,17136,0.086,0.85,0.04,0.024,0,0,12.1,68.5,164.4,0.134,41,2.328306E-10
B. K-8 / 0 - 400,WARREN,70,ALPHA BORO,13505,0.397,0.566,0.037,0,0,0,9.4,104.8,125.8,0.125,41,4.656613E-10
E. K-12 / 0 - 1800,WARREN,280,BELVIDERE TOWN,15021,0.27,0.264,0.016,0.45,0,0,11.4,66.5,116.8,0.180,41,9.313226E-10
A. K-6,WARREN,400,BLAIRSTOWN TWP,13203,0.26,0.711,0.028,0.002,0,0,14.2,65.7,135.6,0.195,41,267397
A. K-6,WARREN,1620,FRANKLIN TWP,18283,0.215,0.701,0.028,0.013,0.043,0,12.2,64.2,115.6,0.090,41,0
A. K-6,WARREN,1670,FRELINGHUYSEN TWP,15750,0.278,0.68,0.034,0.009,0,0,11.6,127.1,89,0.147,41,0
D. K-8 / 751 +,WARREN,1785,GREAT MEADOWS REGIONAL,15236,0.332,0.633,0.035,0,0,0,12.5,83.7,226,0.103,41,-1.862645E-9
D. K-8 / 751 +,WARREN,1840,GREENWICH TWP,12146,0.453,0.521,0.026,0,0,0,14.1,88.5,225.8,0.099,41,-9.31323E-10
F. K-12 / 1801 - 3500,WARREN,1870,HACKETTSTOWN,15537,0.209,0.515,0.021,0.256,0,0,12.7,70.6,141.2,0.151,41,-9.31323E-10
B. K-8 / 0 - 400,WARREN,2040,HARMONY TWP,16501,0.083,0.883,0.024,0.01,0,0,12.3,65.8,269.1,0.186,41,0
B. K-8 / 0 - 400,WARREN,2250,HOPE TWP,16545,0.235,0.729,0.03,0.006,0,0,13,74.3,69.3,0.113,41,0
A. K-6,WARREN,2470,KNOWLTON TWP,16956,0.37,0.599,0.028,0.003,0,0,10.4,50.7,132.9,0.125,41,0
D. K-8 / 751 +,WARREN,2790,LOPATCONG TWP,12938,0.228,0.692,0.022,0.005,0.053,0,12.2,77.5,194.7,0.099,41,694
A. K-6,WARREN,2970,MANSFIELD TWP,13335,0.413,0.539,0.042,0.004,0.001,0.001,12,94.7,227.3,0.130,41,0
H. 7-12 / 9-12,WARREN,3675,NORTH WARREN REGIONAL,16111,0.343,0.635,0.022,0,0,0,12.1,75.5,122.9,0.151,41,0
B. K-8 / 0 - 400,WARREN,3890,OXFORD TWP,18118,0.422,0.544,0.034,0,0,0,10.8,98.3,98.3,0.207,41,4.656613E-10
G. K-12 / 3501 +,WARREN,4100,PHILLIPSBURG TOWN,17901,0.715,0.135,0.049,0.101,0,0,11.8,68,157.6,0.146,41,0
B. K-8 / 0 - 400,WARREN,4200,POHATCONG TWP,15394,0.256,0.719,0.025,0,0,0,12.2,82.4,115.3,0.097,41,-4.65661E-10
I. CSSD,WARREN,5450,WARREN CO SPECIAL SERVICE,51259,0.072,0.123,0.004,0.801,0,0,3.7,6.4,28.3,1.000,41,0
J. VOC,WARREN,5460,WARREN COUNTY VOCATIONAL,18704,0.363,0.44,0.031,0.166,0,0,12.3,129,129,0.211,41,0
H. 7-12 / 9-12,WARREN,5465,WARREN HILLS REGIONAL,17781,0.349,0.566,0.028,0.056,0,0.001,13.8,108.2,194.7,0.170,41,38050
A. K-6,WARREN,5480,WASHINGTON BORO,13608,0.409,0.556,0.035,0,0,0,12.2,101.7,179.7,0.183,41,0
A. K-6,WARREN,5530,WASHINGTON TWP,14145,0.371,0.604,0.026,0,0,0,12.4,83.5,154.5,0.131,41,0
B. K-8 / 0 - 400,WARREN,5780,WHITE TWP,15615,0.228,0.739,0.03,0,0.003,0,12.1,66.5,189.5,0.174,41,4.656613E-10
K. CHARTER,WARREN,7727,RIDGE AND VALLEY CS,12249,0.331,0.641,0.027,0,0,0.001,9,0,59.5,0.266,80,1082800
